gene_id,1622003800C,1621001800C,1622003500C,1621003700C,1621002900C,1621002200C,162200380CP,162100180CP,162200350CP,162100370CP,162100290CP,162100220CP
ENSG00000260585,5,11,1,26,7,20,6,15,12,5,7,13
ENSG00000213498,0,0,0,0,0,0,0,0,0,0,0,1
NONHSAG103561.1,0,1,0,0,1,10,1,1,2,2,0,2
ENSG00000286163,0,0,1,9,3,10,3,2,16,4,2,4
ENSG00000182890,53,33,12,20,41,116,37,59,117,50,80,103
NONHSAG104451.2,3,2,0,3,0,4,0,0,2,1,1,5
NONHSAG115069.1,2,2,1,1,1,3,2,4,2,4,0,1
ENSG00000232119,844,716,871,910,795,732,749,589,620,721,630,691
NONHSAG115068.1,4,4,0,4,0,2,15,4,9,11,7,5
MSTRG.5823|ENSG00000158290,3440,3856,3260,4547,3715,3721,4005,3764,3249,4820,4114,4618
ENSG00000101892,14,14,6,7,12,12,14,4,29,15,12,8
NONHSAG103878.1,5,2,1,3,0,6,3,1,4,2,3,0
ENSG00000125355,84,175,65,162,140,37,359,259,248,551,289,166
NONHSAG103558.1,0,2,1,0,0,0,2,1,1,1,0,0
ENSG00000177485,2227,1703,1476,1742,2397,999,3834,2037,1309,2543,1862,2608
ENSG00000227541,4,0,0,2,1,2,15,4,15,5,1,4
ENSG00000131721,0,1,0,0,0,0,0,0,1,0,0,3
ENSG00000203989,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000258545,71,38,28,14,31,52,54,42,56,153,399,308
NONHSAG103876.1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000282850,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000234493,0,2,0,0,0,0,0,2,2,2,0,0
NONHSAG103556.1,0,1,4,0,0,1,0,0,3,1,0,0
ENSG00000282933,2,4,4,8,26,5,7,5,11,7,5,7
ENSG00000101882,667,775,862,919,706,693,916,917,1060,1147,1001,940
ENSG00000186471,1,1,4,0,0,0,0,1,0,0,0,0
NONHSAG103874.1,34,40,19,23,25,85,53,30,62,39,36,41
NONHSAG055201.2,0,0,1,1,0,0,0,0,0,0,0,0
NONHSAG055198.2,0,0,1,0,0,0,1,0,0,0,1,0
ENSG00000125356,1132,839,952,778,1041,933,586,873,593,818,789,727
ENSG00000125352,358,323,357,289,412,203,309,314,259,325,190,285
ENSG00000125351,297,228,258,219,300,171,241,208,197,311,232,281
NONHSAG103555.1,90,87,72,61,68,116,132,71,133,86,87,82
NONHSAG103554.1,7,5,13,4,6,6,18,14,18,14,9,12
ENSG00000206622,3,1,0,0,0,0,1,2,1,1,0,0
ENSG00000198918,7017,8070,7584,5551,5089,6050,4616,10867,4223,7374,5702,6907
NONHSAG115210.1,1,2,2,2,4,0,0,0,1,1,0,0
ENSG00000279601,0,0,0,1,1,0,0,1,0,0,0,0
NONHSAG115208.1,17,6,4,7,13,1,6,2,1,7,6,1
MSTRG.5822|ENSG00000125354,3011,2144,1776,1219,3051,1403,1210,1650,1199,1447,1195,1259
ENSG00000186416,547,559,784,862,498,483,515,738,469,716,570,605
NONHSAG055190.2,0,0,0,0,0,0,1,1,0,1,0,0
NONHSAG115207.1,8,10,12,12,10,10,19,10,28,17,7,6
ENSG00000018610,799,715,759,691,612,668,846,915,1080,970,951,887
NONHSAG103553.1,2,0,0,2,0,2,3,0,2,0,0,3
ENSG00000005022,6611,4539,7045,5274,5449,3766,2810,4918,2298,2822,2674,3049
ENSG00000224281,44,36,33,66,17,48,57,51,39,52,43,57
NONHSAG103552.1,0,0,1,0,0,0,0,0,0,1,1,0
ENSG00000266420,0,1,2,0,3,3,3,2,4,1,1,1
ENSG00000207175,2,1,0,1,1,1,2,0,0,3,0,1
ENSG00000237903,7,4,0,6,2,4,8,2,7,7,1,4
MSTRG.5748|ENSG00000077713,736,785,885,821,1283,851,587,705,601,778,735,792
ENSG00000226661,0,0,0,0,0,0,1,0,1,1,1,1
NONHSAG115066.1,27,9,15,9,6,20,19,16,33,11,20,15
ENSG00000230392,14,12,10,10,4,8,16,11,19,22,5,14
ENSG00000214992,1,0,0,0,0,0,0,1,0,0,1,0
ENSG00000101856,4588,3037,3500,5739,2040,2681,4246,4083,2936,5102,3796,3905
MSTRG.5747|ENSG00000175556,235,345,438,908,119,367,382,582,576,1020,970,554
NONHSAG103547.1,1,1,0,0,0,0,1,0,0,0,0,0
ENSG00000203650,35,26,12,33,32,24,36,28,77,28,27,38
MSTRG.5746|ENSG00000131724,6341,5740,7243,6511,9378,4992,4910,3693,4065,5028,4896,6335
NONHSAG115206.1,1,5,7,2,10,4,7,10,7,3,4,13
NONHSAG104436.2,22,16,21,13,13,45,44,21,59,26,26,22
MSTRG.5745|ENSG00000147251,2473,3064,1867,1576,3065,6408,1729,1650,3856,4352,8136,4642
NONHSAG103544.1,48,23,49,45,14,28,93,29,44,54,32,48
ENSG00000003096,375,575,220,456,24,142,2670,2072,683,1631,785,1129
ENSG00000279587,2,2,0,0,0,0,10,4,1,7,2,2
